lineup,team,off_poss,adj_team_eff_margin,pred_adj_team_eff_margin,percentile_pred_team_off_eff,percentile_pred_team_def_eff,percentile_post_O,percentile_post_D,percentile_three_pct_weighted_mean,color_three_pct_weighted_mean,percentile_two_pct_weighted_mean,color_two_pct_weighted_mean,percentile_ft_pct_weighted_mean,color_ft_pct_weighted_mean,percentile_game_usage_mean,color_game_usage_mean,percentile_assist_rate_sum,color_assist_rate_sum,percentile_TO_sum,color_TO_sum,percentile_oreb_pct_sum,color_oreb_pct_sum,percentile_dreb_pct_sum,color_dreb_pct_sum,percentile_STL_sum,color_STL_sum,percentile_blk_pct_sum,color_blk_pct_sum,percentile_PF_sum,color_PF_sum,percentile_games_exp_mean,color_games_exp_mean,percentile_height_mean,color_height_mean,color_recruit_rating_mean,color_adj_O,color_adj_D,p_id_string_1,p_id_string_2,p_id_string_3,p_id_string_4,p_id_string_5,year,color_post_Diff,color_adj_Diff,color_post_O,color_post_D
W. Celichowski / E. Greenberg / L. Hobin / E. Robinson / K. Sanders,Air Force,371,-21.5177649668036,-17.8949956049174,4.02087361483607,19.5742115220691,4.02087361483607,19.5742115220691,17.9400819143849,#DCE9F5,35.917586644213,#FFFFFF,39.2128734485124,#FFFFFF,91.2201916879769,#FFEBD2,68.6417597039439,#FFFFFF,43.3169088754444,#FFFFFF,2.02083203393002,#CBDEF0,24.3310671739537,#DCE9F5,17.8070230150315,#DCE9F5,29.3498825339404,#FFFFFF,81.9871515000312,#FFEBD2,12.4493232707541,#DCE9F5,90.0018711407722,#FFEBD2,#FFFFFF,#88B6DC,#EAF2F8,"2118008,,Wesley Celichowski","2303177,,Eli Robinson","2505121,,Ethan Greenberg","2505125,,Lucas Hobin","2505130,,Kam Sanders",2025,#D6E5F3,#C9DDEF,#9FC3E3,#BED6EC
E. Greenberg / L. Hobin / E. Robinson / K. Sanders / C. Walker,Air Force,192,-27.7430103963444,-12.6674521966868,21.0440965508638,12.2622091935383,21.0440965508638,12.2622091935383,47.932389446766,#FFFFFF,67.4234391567392,#FFFFFF,2.27447556082247,#CBDEF0,94.0560094804466,#FFD7A5,60.5605106135263,#FFFFFF,11.9212457639452,#DCE9F5,17.2373646021747,#DCE9F5,67.1490051768228,#FFFFFF,36.4103203808811,#FFFFFF,19.7925112788208,#DCE9F5,93.6568327823863,#FFEBD2,8.33073452670534,#DCE9F5,76.5525270795651,#FFEBD2,#FFFFFF,#B3D0E9,#AECCE7,"2117992,,Caleb Walker","2303177,,Eli Robinson","2505121,,Ethan Greenberg","2505125,,Lucas Hobin","2505130,,Kam Sanders",2025,#E1EDF6,#BAD4EB,#C1D8ED,#AFCDE8
Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Eri. Mahaffey / Sha. Scott,Akron,301,35.2202465655192,34.3889433660474,98.3430008939895,84.8250483378033,98.3430008939895,84.8250483378033,88.8958190398969,#FFEBD2,92.4343541445768,#FFEBD2,62.0990041373001,#FFFFFF,75.1741200440758,#FFEBD2,97.7712634358303,#FFD7A5,34.4165159358822,#FFFFFF,85.1202727707437,#FFEBD2,84.7169379820786,#FFEBD2,73.7167092870954,#FFFFFF,76.3924405912805,#FFEBD2,87.0475477660658,#FFEBD2,98.6278301004179,#FFD7A5,6.96688080833281,#DCE9F5,#FFFFFF,#FFD5A1,#FFF2E2,"1890656,,Shammah Scott","1895929,,Evan Mahaffey","1949206,,Amani Lyles","1949207,,Tavari Johnson","2266043,,Eric Mahaffey",2025,#FFC782,#FFE3C1,#FFC781,#FFD7A5
Bow. Hardman / Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Sha. Scott,Akron,181,10.6623032813057,19.3601173028872,89.8999979209547,61.6229027630512,89.8999979209547,61.6229027630512,97.0519137612009,#FFD7A5,93.5944614233144,#FFEBD2,63.202977192873,#FFFFFF,61.89941578827,#FFFFFF,90.5424229193954,#FFEBD2,58.3463273664733,#FFFFFF,29.6471860121832,#FFFFFF,34.7907440903137,#FFFFFF,40.6099918917233,#FFFFFF,59.4523794673486,#FFFFFF,99.2681760535562,#FFD7A5,99.7234869747812,#FFD7A5,4.86080791700451,#CBDEF0,#FFFFFF,#FCFDFE,#FBFCFD,"1890656,,Shammah Scott","1895929,,Evan Mahaffey","1917732,,Bowen Hardman","1949206,,Amani Lyles","1949207,,Tavari Johnson",2025,#FFE0B8,#FFF6EC,#FFD198,#FFF2E3
Zac. Halligan / Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Sha. Young,Akron,164,32.812794080753,28.1623434675212,85.577662737271,95.0622674068068,85.577662737271,95.0622674068068,82.2324788457141,#FFEBD2,94.8169400611239,#FFD7A5,74.9038441547641,#FFFFFF,42.476974573276,#FFFFFF,91.1536622383002,#FFEBD2,37.2731241813759,#FFFFFF,79.5692218133433,#FFEBD2,77.4090937441527,#FFEBD2,98.2016258134265,#FFD7A5,58.6581841618329,#FFFFFF,32.2064907794341,#FFFFFF,95.0102912742469,#FFD7A5,3.40547620532651,#CBDEF0,#FFFFFF,#FEFEFE,#FFD39C,"1895929,,Evan Mahaffey","1949206,,Amani Lyles","1949207,,Tavari Johnson","2094971,,Zach Halligan","2266042,,Sharron Young",2025,#FFD199,#FFE5C5,#FFD6A3,#FFCB8A
Zac. Halligan / Bow. Hardman / Tav. Johnson / Ama. Lyles / Eva. Mahaffey,Akron,109,18.7025029484541,19.8869132508233,79.7688101623734,82.1493170336182,79.7688101623734,82.1493170336182,94.4011310006445,#FFD7A5,96.8710368198923,#FFD7A5,62.0698975030666,#FFFFFF,29.771928730327,#FFFFFF,70.762385912389,#FFFFFF,69.6708871286305,#FFFFFF,57.8535936298052,#FFFFFF,64.8870038878147,#FFFFFF,65.0595646479137,#FFFFFF,56.9304975155409,#FFFFFF,84.2200461548057,#FFEBD2,97.0020166739433,#FFD7A5,9.61766356888917,#DCE9F5,#FFFFFF,#DFEBF5,#FFE1BC,"1895929,,Evan Mahaffey","1917732,,Bowen Hardman","1949206,,Amani Lyles","1949207,,Tavari Johnson","2094971,,Zach Halligan",2025,#FFDFB6,#FFF0DE,#FFDDB2,#FFDAAC
A. Allen / A. Holloway / L. Philon / A. Sherrell / L. Wrightsell Jr.,Alabama,135,33.7086471202114,46.701127934348,99.9833676375808,82.0578390403127,99.9833676375808,82.0578390403127,98.8918688538223,#FFD7A5,96.4240420798769,#FFD7A5,91.5944198424084,#FFEBD2,96.796191189006,#FFD7A5,99.0727457951309,#FFD7A5,91.1890060084409,#FFEBD2,47.8471485893678,#FFFFFF,50.2006278716813,#FFFFFF,67.3693839788769,#FFFFFF,75.5504272438097,#FFEBD2,97.8627414291357,#FFD7A5,81.0786087028836,#FFEBD2,37.0506663340194,#FFFFFF,#FFD7A5,#FFC379,#F3F8FB,"1602892,,Latrell Wrightsell Jr.","2106215,,Aden Holloway","2301240,,Labaron Philon","2301241,,Aiden Sherrell","2550725,,Amari Allen",2025,#FFB455,#FFE4C3,#FFC57D,#FFDAAC
A. Allen / A. Holloway / H. Mallette / L. Philon / A. Sherrell,Alabama,110,69.4243122532998,54.0819124753814,99.9958419093952,91.8251938709745,99.9958419093952,91.8251938709745,98.4012141624566,#FFD7A5,97.7941329341566,#FFD7A5,89.802282791742,#FFEBD2,95.2452233934177,#FFD7A5,97.6569159441984,#FFD7A5,94.5466641718123,#FFD7A5,77.5774964136469,#FFEBD2,65.5148755691387,#FFFFFF,51.612299632009,#FFFFFF,75.8414935861452,#FFEBD2,97.1288384373895,#FFD7A5,82.5942327283311,#FFEBD2,56.3857876463128,#FFFFFF,#FFD7A5,#FFA533,#FFD5A0,"1695278,,Houston Mallette","2106215,,Aden Holloway","2301240,,Labaron Philon","2301241,,Aiden Sherrell","2550725,,Amari Allen",2025,#FFA83B,#FFC985,#FFC57D,#FFCE92
T. Bol Bowen / A. Holloway / H. Mallette / L. Philon / A. Sherrell,Alabama,104,19.1927977742611,39.4681677381606,99.3700492733737,88.095386598474,99.3700492733737,88.095386598474,97.3492172394436,#FFD7A5,98.3762656188278,#FFD7A5,94.168277926776,#FFD7A5,83.1493378240712,#FFEBD2,83.6192020624129,#FFEBD2,95.8439884405081,#FFD7A5,78.1284434187821,#FFEBD2,56.5167675003638,#FFFFFF,44.1007089544481,#FFFFFF,93.0809372336223,#FFEBD2,98.403293207759,#FFD7A5,93.5424852907545,#FFEBD2,76.5525270795651,#FFEBD2,#FFD7A5,#FFE7CA,#F5F8FC,"1695278,,Houston Mallette","2106215,,Aden Holloway","2120172,,Taylor Bol Bowen","2301240,,Labaron Philon","2301241,,Aiden Sherrell",2025,#FFBF70,#FFF0DD,#FFC67E,#FFD39C
I. Abidde / J. Kempson / A. Lindsey / Z. Matulu / O. Okeke,Albany,156,19.8731425534975,8.04841865852626,73.8331358240296,40.3085303228757,73.8331358240296,40.3085303228757,38.8615147924073,#FFFFFF,57.533420653236,#FFFFFF,14.3059107257947,#DCE9F5,86.8874612777812,#FFEBD2,52.5894509241356,#FFFFFF,23.6221127258363,#DCE9F5,66.0928501632051,#FFFFFF,84.4133973679286,#FFEBD2,75.0535354165367,#FFEBD2,83.4861431630595,#FFEBD2,56.8681261564689,#FFFFFF,43.0902929374831,#FFFFFF,28.5307386847959,#FFFFFF,#FFFFFF,#FFEDD8,#FFFDFC,"1700366,,Isaac Abidde","2126093,,Okechukwu Okeke","2143580,,Zach Matulu","2284666,,Amir Lindsey","2549079,,Jaden Kempson",2025,#FFF2E1,#FFEFDC,#FFE4C2,#E9F1F8
