lineup,team,adj_team_off_eff,adj_team_def_eff,adj_team_eff_margin,pred_adj_team_eff_margin,off_poss,def_poss,plus_minus,avg_opp_bpr,team_off_eff,team_def_eff,team_eff_margin,p_id_string_1,p_id_string_2,p_id_string_3,p_id_string_4,p_id_string_5,year,color_adj_O,color_adj_Diff,color_adj_D,color_post_Diff
W. Celichowski / E. Greenberg / L. Hobin / E. Robinson / K. Sanders,Air Force,85.786857036184,107.304622002988,-21.5177649668036,-17.8949956049174,371,366,-107.937125329563,1.55463562696834,84.0970350404313,113.387978142077,-29.2909431016452,"2118008,,Wesley Celichowski","2303177,,Eli Robinson","2505121,,Ethan Greenberg","2505125,,Lucas Hobin","2505130,,Kam Sanders",2025,#A7C9E5,#C9DDEF,#E7F0F8,#C5DBEE
E. Greenberg / L. Hobin / E. Robinson / K. Sanders / C. Walker,Air Force,95.8778790554715,123.620889451816,-27.7430103963444,-12.6674521966868,192,186,-57.6970766129032,0.556908673419301,96.3541666666667,126.881720430108,-30.5275537634409,"2117992,,Caleb Walker","2303177,,Eli Robinson","2505121,,Ethan Greenberg","2505125,,Lucas Hobin","2505130,,Kam Sanders",2025,#C2D9ED,#BAD4EB,#BBD5EB,#D6E5F3
Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Eri. Mahaffey / Sha. Scott,Akron,130.93612648607,95.7158799205508,35.2202465655192,34.3889433660474,301,311,93.593616134856,0.926819500368164,131.229235880399,100.64308681672,30.5861490636784,"1890656,,Shammah Scott","1895929,,Evan Mahaffey","1949206,,Amani Lyles","1949207,,Tavari Johnson","2266043,,Eric Mahaffey",2025,#FFEDD7,#FFE3C1,#FFFAF5,#FFC984
Bow. Hardman / Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Sha. Scott,Akron,113.338429536504,102.676126255199,10.6623032813057,19.3601173028872,181,153,12.3201169970751,0.656997542838979,113.259668508287,105.882352941176,7.37731556711083,"1890656,,Shammah Scott","1895929,,Evan Mahaffey","1917732,,Bowen Hardman","1949206,,Amani Lyles","1949207,,Tavari Johnson",2025,#EFF5FA,#FFF6EC,#F3F8FB,#FFE0BA
Zac. Halligan / Tav. Johnson / Ama. Lyles / Eva. Mahaffey / Sha. Young,Akron,113.757405038317,80.9446109575635,32.812794080753,28.1623434675212,164,169,45.9502994660124,1.04300332473771,112.80487804878,85.207100591716,27.5977774570645,"1895929,,Evan Mahaffey","1949206,,Amani Lyles","1949207,,Tavari Johnson","2094971,,Zach Halligan","2266042,,Sharron Young",2025,#F0F6FA,#FFE5C5,#FFE3C1,#FFD29B
Zac. Halligan / Bow. Hardman / Tav. Johnson / Ama. Lyles / Eva. Mahaffey,Akron,106.425588045596,87.7230850971422,18.7025029484541,19.8869132508233,109,113,18.9881464642364,0.319212938477054,108.256880733945,91.1504424778761,17.1064382560688,"1895929,,Evan Mahaffey","1917732,,Bowen Hardman","1949206,,Amani Lyles","1949207,,Tavari Johnson","2094971,,Zach Halligan",2025,#DDEAF5,#FFF0DE,#FFEED9,#FFDFB8
A. Allen / A. Holloway / L. Philon / A. Sherrell / L. Wrightsell Jr.,Alabama,138.353622479874,104.644975359662,33.7086471202114,46.701127934348,135,123,12.0027100271003,4.88084414852286,129.62962962963,120.325203252033,9.3044263775971,"1602892,,Latrell Wrightsell Jr.","2106215,,Aden Holloway","2301240,,Labaron Philon","2301241,,Aiden Sherrell","2550725,,Amari Allen",2025,#FFE2BE,#FFE4C3,#EEF4FA,#FFB559
A. Allen / A. Holloway / H. Mallette / L. Philon / A. Sherrell,Alabama,151.178582223942,81.7542699706417,69.4243122532998,54.0819124753814,110,102,54.4171122994652,3.61748277151558,145.454545454545,94.1176470588235,51.3368983957219,"1695278,,Houston Mallette","2106215,,Aden Holloway","2301240,,Labaron Philon","2301241,,Aiden Sherrell","2550725,,Amari Allen",2025,#FFCF93,#FFC985,#FFE5C4,#FFAA3E
T. Bol Bowen / A. Holloway / H. Mallette / L. Philon / A. Sherrell,Alabama,123.527401581762,104.334603807501,19.1927977742611,39.4681677381606,104,102,-1.33993212669683,4.09874055032734,116.346153846154,117.647058823529,-1.30090497737556,"1695278,,Houston Mallette","2106215,,Aden Holloway","2120172,,Taylor Bol Bowen","2301240,,Labaron Philon","2301241,,Aiden Sherrell",2025,#FFF8F0,#FFF0DD,#EFF5FA,#FFC172
I. Abidde / J. Kempson / A. Lindsey / Z. Matulu / O. Okeke,Albany,120.907243611678,101.03410105818,19.8731425534975,8.04841865852626,156,161,24.637044115305,0.865853228011172,120.512820512821,104.968944099379,15.5438764134416,"1700366,,Isaac Abidde","2126093,,Okechukwu Okeke","2143580,,Zach Matulu","2284666,,Amir Lindsey","2549079,,Jaden Kempson",2025,#FFFCF9,#FFEFDC,#F8FAFD,#FFF2E2
I. Abidde / T. Foster / J. Kempson / A. Lindsey / O. Okeke,Albany,101.732722380693,107.438152098515,-5.7054297178218,-2.65389509249607,153,152,-1.04919160646713,-1.00348704435556,104.575163398693,105.263157894737,-0.68799449604402,"1700366,,Isaac Abidde","2126093,,Okechukwu Okeke","2152575,,Tarique Foster","2284666,,Amir Lindsey","2549079,,Jaden Kempson",2025,#D1E2F1,#F0F6FA,#E6F0F8,#F6F9FC
S. Lancaster / T. McDaniels / J. Morris / D. Williams / N. Woodard,Alcorn State,95.3804297436162,114.896558726076,-19.5161289824602,-12.066178418244,309,305,-46.2104302615523,-0.892774313654755,97.7346278317152,112.786885245902,-15.0522574141864,"1925353,,Shane Lancaster","2092096,,Jameel Morris","2283126,,Nick Woodard","2345717,,Davian Williams","2345734,,Tycen McDaniels",2025,#C0D8ED,#CEE1F0,#D2E3F2,#D8E7F3
O. Hamilton / S. Lancaster / T. McDaniels / J. Morris / N. Woodard,Alcorn State,95.2881343597907,103.553228667869,-8.26509430807789,-7.8427241314793,227,226,-23.9957019219523,0.465806915157257,94.273127753304,104.867256637168,-10.5941288838642,"1925353,,Shane Lancaster","2092096,,Jameel Morris","2283126,,Nick Woodard","2345734,,Tycen McDaniels","2345736,,Omari Hamilton",2025,#C0D8EC,#EAF2F9,#F1F6FB,#E5EFF7
J. Iturbe / G. Jones / M. Mayock / K. Sebastian / G. Sprouse,American,115.574768310428,91.2921653157076,24.2826029947201,12.8189116528291,217,228,58.5796143584769,-0.409062714177493,118.433179723502,92.1052631578947,26.3279165656076,"1924182,,Geoff Sprouse","2112592,,Greg Jones","2112593,,Matt Mayock","2321215,,Julen Iturbe","2478271,,Kade Sebastian",2025,#F5F9FC,#FFECD4,#FFF3E5,#FFEAD1
J. Iturbe / G. Jones / M. Mayock / W. Nausadis / G. Sprouse,American,101.426495553274,104.891663020393,-3.46516746711862,-0.66852451452255,215,208,-11.3175201252236,0.377181175628155,101.860465116279,107.211538461538,-5.35107334525939,"1924182,,Geoff Sprouse","2112592,,Greg Jones","2112593,,Matt Mayock","2321207,,Wyatt Nausadis","2321215,,Julen Iturbe",2025,#D0E2F1,#F6F9FC,#EDF4FA,#FCFDFE
M. Collins / J. Iturbe / G. Jones / M. Mayock / G. Sprouse,American,110.978662988904,118.759207051399,-7.78054406249507,8.93054138524565,143,131,-7.94224096514172,-0.396657576711902,113.286713286713,119.083969465649,-5.79725617893556,"1924182,,Geoff Sprouse","2112592,,Greg Jones","2112593,,Matt Mayock","2321215,,Julen Iturbe","2478256,,Madden Collins",2025,#E9F1F8,#EBF3F9,#C8DDEF,#FFF0DF
A. Dodd / K. Jennings / M. Marcus Jr. / J. Tot / L. Wilson,Appalachian State,111.76018883132,95.9594049158426,15.800783915477,15.9043853467075,385,366,60.0517528919169,-0.0383387104820652,112.987012987013,96.9945355191257,15.9924774678873,"1599780,,Kasen Jennings","1920550,,Jalen Tot","1946431,,Alonzo Dodd","2127609,,Luke Wilson","2302349,,Michael Marcus Jr.",2025,#EBF2F9,#FFF2E3,#FFFBF5,#FFE6C6
E. Banks / A. Dodd / K. Jennings / M. Marcus Jr. / L. Wilson,Appalachian State,96.4456134888577,82.9011874847485,13.5444260041092,10.3965050791568,150,148,18.1753153153153,0.269245561182198,97.3333333333333,85.1351351351351,12.1981981981982,"1599780,,Kasen Jennings","1946431,,Alonzo Dodd","2106231,,Eren Banks","2127609,,Luke Wilson","2302349,,Michael Marcus Jr.",2025,#C3DAED,#FFF4E7,#FFE6C8,#FFEEDA
E. Banks / A. Dodd / K. Jennings / J. Tot / L. Wilson,Appalachian State,107.984667612441,92.7926380239944,15.1920295884467,11.1512319396919,139,135,18.9018385291767,0.279013431678156,109.352517985612,95.5555555555556,13.796962430056,"1599780,,Kasen Jennings","1920550,,Jalen Tot","1946431,,Alonzo Dodd","2106231,,Eren Banks","2127609,,Luke Wilson",2025,#E1ECF6,#FFF3E4,#FFF6EA,#FFEDD7
E. Banks / A. Dodd / K. Jennings / C. Moodie / L. Wilson,Appalachian State,115.028603607701,108.541466785007,6.48713682269327,9.45835198822186,106,104,7.73403483309142,-0.175722127478759,116.981132075472,109.615384615385,7.36574746008707,"1599780,,Kasen Jennings","1946431,,Alonzo Dodd","2106231,,Eren Banks","2127609,,Luke Wilson","2143535,,Chad Moodie",2025,#F4F8FB,#FFF9F3,#E3EEF7,#FFF0DD
E. Banks / A. Dodd / K. Jennings / M. Marcus Jr. / J. Tot,Appalachian State,125.837523770294,86.9678218183437,38.8697019519505,15.3835211495838,102,95,37.4787925696594,0.164033269647059,126.470588235294,88.4210526315789,38.0495356037152,"1599780,,Kasen Jennings","1920550,,Jalen Tot","1946431,,Alonzo Dodd","2106231,,Eren Banks","2302349,,Michael Marcus Jr.",2025,#FFF5E8,#FFE0BA,#FFEDD6,#FFE6C8
J. Bradley / B. Burries / I. Kharchenkov / M. Krivas / K. Peat,Arizona,121.999332822363,66.3434796378238,55.6558531845391,49.079143319119,613,593,223.774643818998,3.70912606579679,114.68189233279,77.5716694772344,37.1102228555552,"1920157,,Jaden Bradley","2098978,,Motiejus Krivas","2478066,,Ivan Kharchenkov","2478068,,Brayden Burries","2478069,,Koa Peat",2025,#FFFAF5,#FFD39D,#FFCD8E,#FFB150
T. Awaka / J. Bradley / B. Burries / I. Kharchenkov / K. Peat,Arizona,132.942877608006,96.9853512711358,35.9575263368699,46.8058261659493,187,195,39.3994789524201,3.06590537706822,127.807486631016,107.179487179487,20.6279994515289,"1890542,,Tobe Awaka","1920157,,Jaden Bradley","2478066,,Ivan Kharchenkov","2478068,,Brayden Burries","2478069,,Koa Peat",2025,#FFEAD0,#FFE3C0,#FFFCF9,#FFB558
T. Awaka / J. Bradley / B. Burries / I. Kharchenkov / M. Krivas,Arizona,122.74307721945,83.1159896427358,39.6270875767138,49.2315116988748,134,137,21.168645821985,4.80089414678409,113.432835820896,97.8102189781022,15.6226168427933,"1890542,,Tobe Awaka","1920157,,Jaden Bradley","2098978,,Motiejus Krivas","2478066,,Ivan Kharchenkov","2478068,,Brayden Burries",2025,#FFF9F3,#FFE0B9,#FFE7C9,#FFB150
D. Aristode / T. Awaka / B. Burries / A. Dell'Orso / K. Peat,Arizona,139.563799381408,85.0269391968832,54.5368601845249,47.1101080221109,129,127,57.7066471342245,1.89070842218241,137.209302325581,92.1259842519685,45.0833180736129,"1890542,,Tobe Awaka","1917832,,Anthony Dell'Orso","2478064,,Dwayne Aristode","2478068,,Brayden Burries","2478069,,Koa Peat",2025,#FFE0BA,#FFD49F,#FFEACF,#FFB557
