player,player_id,team,class,poss,position,value_three_pct,value_two_pct,value_ft_pct,value_scoring,color_three_pct,color_two_pct,color_ft_pct,color_scoring,value_assist_rate,value_TO,value_playmaking,color_assist_rate,color_TO,color_playmaking,value_oreb_pct,value_dreb_pct,value_reb_pct,color_oreb_pct,color_dreb_pct,color_reb_pct,value_blk_pct,value_STL,value_PF,value_D,color_blk_pct,color_STL,color_PF,color_D
Cameron Boozer,2561473,Duke,FR,1889,PF,37.5164693146742,62.7173328567106,77.1551203712013,38.5998380425384,#FFEBD2,#FFD7A5,#FFFFFF,#FFD7A5,22.3175248054889,3.83945802198941,7.48748560759048,#FFEBD2,#DCE9F5,#FFD7A5,12.1308184272065,22.5286223539518,34.6594407811583,#FFD7A5,#FFD7A5,#FFD7A5,2.27544447796752,2.35074073587875,2.92559522941783,4.8827916,#FFFFFF,#FFEBD2,#FFD7A5,#FFD7A5
Yaxel Lendeborg,2098119,Michigan,SR,1811,SF,35.6420752979781,58.9457901779588,80.5340070881069,26.0101603035038,#FFEBD2,#FFEBD2,#FFEBD2,#FFEBD2,17.8928218833421,2.33743459992579,9.35636448346888,#FFEBD2,#FFEBD2,#FFD7A5,10.5682439942546,19.3527422230893,29.9209862173438,#FFEBD2,#FFEBD2,#FFD7A5,5.69446702246839,2.2495441632812,3.25466062785173,5.509953,#FFEBD2,#FFEBD2,#FFEBD2,#FFD7A5
Jeremy Fears Jr.,2119925,Michigan State,JR,1736,PG,35.7727285930925,49.3978018481653,85.6546467383911,29.1310183045556,#FFEBD2,#FFFFFF,#FFD7A5,#FFD7A5,46.7233638771911,4.21541836201137,28.9920941088849,#FFD7A5,#DCE9F5,#FFD7A5,2.07830189730061,7.23662055290409,9.3149224502047,#DCE9F5,#CBDEF0,#CBDEF0,0.767898017563842,2.58188460472608,4.45641021834026,3.4371281,#FFFFFF,#FFEBD2,#FFFFFF,#FFD7A5
Braden Smith,1911492,Purdue,SR,1958,PG,39.3625516461075,50.4155172703347,82.9922901492882,25.4501539898667,#FFD7A5,#FFFFFF,#FFEBD2,#FFEBD2,42.5270945572626,4.62039706110906,23.4056446302143,#FFD7A5,#DCE9F5,#FFD7A5,2.78086285979218,11.5008170157403,14.2816798755325,#FFFFFF,#FFFFFF,#FFFFFF,0.750690820315508,3.18950966793288,2.67621168019774,3.1454856,#FFFFFF,#FFD7A5,#FFD7A5,#FFD7A5
Joshua Jefferson,1908432,Iowa State,SR,1843,PF,33.1426740921967,55.4955395412297,71.0463528733207,31.5379646592702,#FFFFFF,#FFEBD2,#FFFFFF,#FFD7A5,24.7247070321589,4.61205358910625,6.64996960986978,#FFD7A5,#DCE9F5,#FFEBD2,7.70546636296312,21.9800675843029,29.685533947266,#FFEBD2,#FFD7A5,#FFD7A5,2.80534891557036,3.2664392274818,4.3911868171709,4.7163659,#FFEBD2,#FFD7A5,#FFFFFF,#FFD7A5
Bruce Thornton,1917726,Ohio State,SR,2006,SG,39.2669502692637,59.7888905159421,83.5150043783725,32.0514410374337,#FFD7A5,#FFD7A5,#FFEBD2,#FFD7A5,22.4256278918092,1.961224389077,15.1444790994561,#FFEBD2,#FFEBD2,#FFD7A5,3.61759826709568,13.5512444859403,17.168842753036,#FFFFFF,#FFFFFF,#FFFFFF,0.6665528459321,1.9482329275598,2.72658279828671,2.2495771,#FFFFFF,#FFFFFF,#FFD7A5,#FFD7A5
Ja'Kobi Gillespie,1917663,Tennessee,SR,1923,PG,36.9297124796002,53.9120518710496,81.2663194348741,32.382244249533,#FFEBD2,#FFEBD2,#FFEBD2,#FFD7A5,28.2627031027309,3.56023446098521,14.2174720584122,#FFD7A5,#FFFFFF,#FFD7A5,2.2883244632668,7.84199090544938,10.1303153687162,#DCE9F5,#DCE9F5,#DCE9F5,0.817728388936717,3.54273482625327,3.56108909143961,2.9736177,#FFFFFF,#FFD7A5,#FFEBD2,#FFD7A5
Patrick Ngongba,2319989,Duke,SO,1104,C,30.7704695098241,66.0379186793752,70.4163749066798,28.5493562010967,#DCE9F5,#FFD7A5,#FFFFFF,#FFD7A5,13.7676439059415,3.10325221364313,2.38551516070877,#FFFFFF,#FFFFFF,#FFEBD2,11.697797489681,18.0548220445966,29.7526195342776,#FFD7A5,#FFEBD2,#FFD7A5,5.89374903395956,1.72984781326057,7.47678071716328,4.9051755,#FFD7A5,#FFFFFF,#DCE9F5,#FFD7A5
Zuby Ejiofor,1933767,St. John's,SR,1787,PF,31.6899752248583,61.2777915116181,71.9358732155762,31.9975180890033,#DCE9F5,#FFD7A5,#FFFFFF,#FFD7A5,20.2622657861209,3.71317029769149,6.05717556357062,#FFEBD2,#FFFFFF,#FFEBD2,13.582932909429,14.893071367485,28.476004276914,#FFD7A5,#FFFFFF,#FFEBD2,7.02679827344339,2.04549992517543,4.64019691152453,3.9198661,#FFD7A5,#FFFFFF,#FFFFFF,#FFD7A5
Kingston Flemings,2505096,Houston,FR,1779,PG,37.8171088767419,51.4420408468378,83.0083822878067,31.7223519787695,#FFD7A5,#FFFFFF,#FFEBD2,#FFD7A5,29.8610038065787,3.31164288369266,16.7247513657807,#FFD7A5,#FFFFFF,#FFD7A5,2.46513914198095,13.4988618069738,15.9640009489547,#FFFFFF,#FFFFFF,#FFFFFF,1.45747341898224,2.83523527867125,3.62186034402517,3.283896,#FFFFFF,#FFD7A5,#FFEBD2,#FFD7A5
